timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
540006491,539987964,4063242,131.32857,39.879997,99757.5,1.1852841
540237964,540214200,4063242,131.98122,39.87,99749.74,1.1851919
540406304,540382548,4063242,131.98122,39.87,99749.74,1.1851919
540627258,540606139,4063242,130.61249,39.84,99766.0,1.1853851
540795665,540774502,4063242,130.73933,39.84,99764.5,1.1853673
541016626,540998109,4063242,130.42226,39.829998,99768.25,1.1854118
541248063,541224326,4063242,132.40399,39.82,99744.74,1.1851325
541416420,541392677,4063242,131.09604,39.809998,99760.25,1.1853168
541637392,541616272,4063242,131.70906,39.79,99753.0,1.1852306
541805776,541784631,4063242,131.96008,39.78,99750.0,1.185195
542026741,542008228,4063242,131.98122,39.76,99749.74,1.1851919
542195069,542176590,4063242,132.08691,39.77,99748.5,1.1851772
542426554,542402812,4063242,131.15945,39.76,99759.5,1.1853079
542647518,542626407,4063242,131.01149,39.75,99761.25,1.1853287
542815905,542794763,4063242,131.244,39.739998,99758.5,1.1852959
543036853,543018357,4063242,131.76984,39.739998,99752.25,1.1852218
543205183,543186714,4063242,132.12918,39.719997,99748.01,1.1851714
543436679,543412938,4063242,131.643,39.719997,99753.75,1.1852396
543605113,543581309,4063242,131.81476,39.719997,99751.74,1.1852157
543826026,543804902,4063242,131.01413,39.719997,99761.24,1.1853286
543994353,543973242,4063242,132.34058,39.719997,99745.49,1.1851414
544215332,544196861,4063242,131.05376,39.71,99760.75,1.1853228
544446820,544423073,4063242,131.72755,39.71,99752.75,1.1852278
544615189,544591422,4063242,130.96921,39.69,99761.74,1.1853346
544836163,544815030,4063242,130.54909,39.69,99766.75,1.185394
545004488,544983381,4063242,130.42226,39.7,99768.25,1.1854118
545225460,545206988,4063242,131.4554,39.71,99755.99,1.1852663
545393807,545375328,4063242,131.66678,39.7,99753.5,1.1852366
545625320,545601565,4063242,131.89667,39.69,99750.75,1.1852039
545846295,545825160,4063242,130.8873,39.69,99762.74,1.1853464
546014618,545993511,4063242,131.05376,39.7,99760.76,1.1853229
546235588,546217118,4063242,131.51881,39.69,99755.25,1.1852573
546403972,546385460,4063242,131.0749,39.7,99760.5,1.1853198
546635459,546611688,4063242,130.65477,39.7,99765.5,1.1853791
546803819,546780051,4063242,131.3497,39.7,99757.25,1.1852812
547024748,547003646,4063242,131.5611,39.7,99754.74,1.1852514
547245713,547227236,4063242,132.10805,39.7,99748.25,1.1851742
547414100,547395592,4063242,130.04176,39.7,99772.75,1.1854652
547645591,547621824,4063242,130.96921,39.7,99761.76,1.1853347
547813922,547790176,4063242,131.89667,39.7,99750.74,1.1852039
548034888,548013773,4063242,131.41312,39.7,99756.5,1.1852722
548203243,548182130,4063242,131.66678,39.71,99753.5,1.1852366
548424201,548405731,4063242,131.1806,39.7,99759.24,1.1853049
548592604,548574088,4063242,131.49768,39.71,99755.5,1.1852604
548824061,548800308,4063242,131.37083,39.71,99756.99,1.185278
549045014,549023904,4063242,130.5068,39.71,99767.25,1.1854
549213369,549192258,4063242,130.65477,39.71,99765.5,1.1853791
549434330,549415856,4063242,131.68527,39.719997,99753.25,1.1852336
549602716,549584213,4063242,132.2983,39.719997,99746.0,1.1851474
549834177,549810445,4063242,130.63364,39.73,99765.75,1.1853822
550002583,549978801,4063242,132.04463,39.719997,99749.0,1.1851832
550223519,550202398,4063242,131.79097,39.719997,99751.99,1.1852187
550444472,550425986,4063242,131.11719,39.73,99760.0,1.1853138
550612848,550594345,4063242,131.76984,39.739998,99752.25,1.1852218
550844297,550820565,4063242,131.244,39.73,99758.5,1.1852959
551012666,550988927,4063242,131.11719,39.719997,99760.0,1.1853138
551233640,551212531,4063242,131.15945,39.73,99759.5,1.1853079
551402001,551380877,4063242,130.18973,39.739998,99771.0,1.1854446
551622978,551604469,4063242,130.65477,39.739998,99765.5,1.1853791
551791315,551772829,4063242,130.80011,39.73,99763.75,1.1853584
552022789,551999055,4063242,128.77873,39.75,99787.74,1.1856434
552243767,552222650,4063242,129.66391,39.73,99777.25,1.1855187
552412198,552391016,4063242,129.24113,39.739998,99782.25,1.1855782
552633148,552614613,4063242,128.90555,39.739998,99786.25,1.1856257
552801465,552782960,4063242,129.32568,39.75,99781.24,1.1855662
553032957,553009186,4063242,129.32568,39.75,99781.25,1.1855663
553201310,553177539,4063242,129.26227,39.75,99781.99,1.1855751
553422277,553401136,4063242,129.17772,39.739998,99782.99,1.1855869
553643228,553624728,4063242,129.53706,39.75,99778.75,1.1855366
553811599,553793093,4063242,128.88441,39.76,99786.5,1.1856287
554043092,554019321,4063242,129.57936,39.76,99778.25,1.1855307
554211462,554187663,4063242,127.513054,39.78,99802.75,1.1858217
554432400,554411260,4063242,129.02975,39.76,99784.75,1.1856079
554600723,554579612,4063242,128.52507,39.77,99790.75,1.1856792
554821690,554803210,4063242,129.87265,39.76,99774.75,1.185489
554990049,554971564,4063242,128.99011,39.77,99785.24,1.1856138
555221563,555197798,4063242,129.85416,39.75,99775.0,1.185492
555442520,555421392,4063242,128.71532,39.77,99788.49,1.1856524
555610846,555589738,4063242,129.51593,39.78,99779.0,1.1855396
555831810,555813337,4063242,129.41025,39.77,99780.25,1.1855544
556000195,555981701,4063242,128.84215,39.78,99787.0,1.1856346
556231707,556207938,4063242,129.83037,39.76,99775.25,1.185495
556400030,556376289,4063242,129.64276,39.76,99777.5,1.1855218
556620990,556599878,4063242,130.46452,39.78,99767.75,1.185406
556841969,556823487,4063242,128.63075,39.77,99789.5,1.1856643
